episode,timestep,episode_reward,episode_length,visited_rooms,explored_pct
683,122417,330.5804,179,3,80.18
684,122443,11.4185,26,1,38.48
685,122643,90.7056,200,3,52.64
686,122750,237.171,107,2,54.3
687,123191,209.2571,441,2,73.73
688,123537,154.0255,346,2,66.7
689,123653,78.4622,116,2,53.12
690,124004,259.4055,351,3,75.0
691,124144,271.962,140,3,74.02
692,124259,236.7599,115,2,55.08
693,124691,180.0561,432,3,68.65
694,124792,184.9493,101,2,65.43
695,125003,366.7065,211,3,80.27
696,125067,85.0025,64,1,48.93
697,125092,17.5748,25,1,46.88
698,125109,-8.9744,17,1,17.19
699,125272,186.0181,163,2,54.3
700,125397,82.4223,125,2,46.68
701,125590,336.635,193,3,77.34
702,125714,238.9353,124,2,76.27
703,126015,297.4047,301,3,80.27
704,126100,191.184,85,2,51.95
705,126336,545.9178,236,5,88.18
706,126385,16.1563,49,1,42.38
707,126407,8.134,22,1,41.21
708,126714,454.4232,307,4,86.33
709,126866,190.6894,152,2,67.58
710,127466,187.4484,600,2,57.13
711,127585,105.504,119,2,49.22
712,127927,251.8894,342,3,76.17
713,128216,-26.6704,289,1,43.65
714,128647,58.154,431,1,27.34
715,128728,36.0338,81,1,44.63
716,129178,-28.8849,450,1,21.68
717,129580,52.7203,402,2,48.05
718,129622,12.1289,42,1,51.27
719,129906,110.3393,284,1,27.34
720,129975,136.2324,69,2,51.95
721,130057,87.227,82,1,37.3
722,130229,424.9686,172,3,72.36
723,130366,267.154,137,3,79.88
724,130539,88.9773,173,1,54.88
725,130820,114.4629,281,2,57.32
726,130936,222.9646,116,3,70.8
727,131168,303.1016,232,3,72.75
728,131197,-4.8057,29,1,39.26
729,131257,139.6375,60,2,48.73
730,131553,209.4084,296,3,51.37
731,131728,196.5317,175,2,70.9
732,131955,-5.8846,227,1,44.04
733,132167,435.5466,212,4,83.59
734,132533,-59.7124,366,1,22.46
735,132620,123.8264,87,2,66.5
736,132797,16.1181,177,1,51.86
737,133352,128.4965,555,2,47.56
738,133674,36.9115,322,1,26.76
739,133850,229.3536,176,3,71.68
740,133930,84.3324,80,1,56.64
741,133971,76.1452,41,1,50.1
742,134094,75.7595,123,1,39.36
743,134347,143.9692,253,2,64.65
744,134530,373.8475,183,4,83.4
745,134575,88.0547,45,1,61.82
746,134775,409.5924,200,4,83.2
747,134962,428.8397,187,4,82.62
748,135027,160.4106,65,2,53.32
749,135205,228.5235,178,2,77.25
750,135357,353.7686,152,4,83.01
751,135546,410.672,189,4,83.01
752,135589,9.7138,43,1,43.07
753,135611,-7.0847,22,1,23.05
754,135670,33.9281,59,1,48.14
755,135694,2.2852,24,1,19.53
756,136050,46.4864,356,2,46.48
757,136064,-15.1694,14,1,41.8
758,136341,124.3198,277,1,54.98
759,136496,223.3354,155,2,75.68
760,136762,160.6199,266,2,73.54
761,136880,41.6998,118,1,46.78
762,137102,235.704,222,2,71.88
